0-Albert 2008,1-Baroudi 2000a,2-Bezzina 2003,3-Bezzina 2003,4-Ellinor 2008,5-Gosselin-Badaroudine 2012,6-Groenewegen 2003a,7-Groenewegen 2003a,8-Groenewegen 2003b,9-Guetter 2013,10-Gui 2010a,11-Makita 1998,12-O'Leary 2002,13-Rook 1999,14-Surber 2008,15-Vatta 2002b,16-Wei 1999,17-Wei 1999,18-Zhang 2008,sum,gauss,x
0.0,0.0,9.73118523243e-08,7.8261236382e-13,0.0,8.13901148878e-64,2.77380585768e-16,3.13927133103e-22,3.44340405267e-45,1.56576923134e-65,1.60074579177e-126,2.78813013061e-53,0.0,0.0,6.39593098153e-73,0.0,5.6901889997e-68,1.46783800023e-141,0.0,9.73126352141e-08,1.13726262243e-12,-134.239942399
0.0,0.0,1.02587798052e-07,8.96288162506e-13,0.0,3.02107930713e-63,3.34597376342e-16,3.96581482272e-22,5.95854287069e-45,3.2628834274e-65,6.31267536671e-126,4.89775029251e-53,0.0,0.0,1.38998631905e-72,0.0,1.11402010271e-67,7.99343584187e-141,0.0,1.02588694675e-07,1.28554870477e-12,-134.079940799
0.0,0.0,1.08133434689e-07,1.02602071154e-12,0.0,1.11448367056e-62,4.03381074171e-16,5.00681433418e-22,1.0294698856e-44,6.78679920048e-65,2.48124667349e-125,8.59176058373e-53,0.0,0.0,3.01513610506e-72,0.0,2.17771721664e-67,4.3333920803e-140,0.0,1.08134461113e-07,1.45272077385e-12,-133.919939199
0.0,0.0,1.13961618483e-07,1.17401083686e-12,0.0,4.08607573178e-62,4.86020985435e-16,6.31707480436e-22,1.7758599879e-44,1.40902299357e-64,9.7205721084e-125,1.50511478442e-52,0.0,0.0,6.52819254438e-72,0.0,4.2506178532e-67,2.33863046065e-139,0.0,1.13962792979e-07,1.64112477296e-12,-133.759937599
0.0,0.0,1.20085767999e-07,1.34275134136e-12,0.0,1.48888183848e-61,5.85249487148e-16,7.96518798434e-22,3.05861837977e-44,2.91985173349e-64,3.79558838731e-124,2.63304938541e-52,0.0,0.0,1.41081031872e-71,0.0,8.28408907526e-67,1.25641856187e-138,0.0,1.20087111335e-07,1.85339035225e-12,-133.599935999
0.0,0.0,1.26519886093e-07,1.53506438271e-12,0.0,5.39181734943e-61,7.04325769739e-16,1.00369443844e-21,5.25972892632e-44,6.03939112165e-64,1.47717446194e-123,4.59992039231e-52,0.0,0.0,3.04322412535e-71,0.0,1.61205397463e-66,6.71964315752e-138,0.0,1.26521421861e-07,2.09246420383e-12,-133.439934399
0.0,0.0,1.33278582611e-07,1.75414345098e-12,0.0,1.94057856485e-60,8.47135012984e-16,1.26395753411e-21,9.03073143719e-44,1.2468527048e-63,5.72993731523e-123,8.02497253025e-52,0.0,0.0,6.55222627987e-71,0.0,3.13225072223e-66,3.57764465477e-137,0.0,1.33280337601e-07,2.36164719318e-12,-133.279932799
0.0,1.48219693752e-323,1.4037709784e-07,2.00360048759e-12,0.0,6.94142134282e-60,1.01830576384e-15,1.59070236118e-21,1.54811774427e-43,2.56937080869e-63,2.21530409114e-122,1.39810156259e-51,0.0,0.0,1.40809992323e-70,0.0,6.0768088847e-66,1.89621387247e-136,0.0,1.40379102459e-07,2.66463570456e-12,-133.119931199
0.0,5.53353523342e-322,1.47831326725e-07,2.28751874782e-12,0.0,2.46766784647e-59,1.22334876708e-15,2.00064874496e-21,2.64976004023e-43,5.28479393605e-63,8.53654682297e-122,2.43240459741e-51,0.0,0.0,3.02042252743e-70,0.0,1.17716342157e-65,1.00049877545e-135,0.0,1.47833615467e-07,3.0055676625e-12,-132.959929599
0.0,2.0370326578e-320,1.55657843858e-07,2.61051207598e-12,0.0,8.71858721904e-59,1.46882106357e-15,2.51465403684e-21,4.5282521387e-43,1.08497309506e-62,3.27866090825e-121,4.22605201314e-51,0.0,0.0,6.46683179732e-70,0.0,2.27687956811e-65,5.25514772001e-135,0.0,1.55660455839e-07,3.38907374009e-12,-132.799927999
0.0,7.46414615111e-319,1.63873929289e-07,2.9777913366e-12,0.0,3.06144632399e-58,1.76251982945e-15,3.15871991874e-21,7.72638156693e-43,2.22330742275e-62,1.255093779e-120,7.33222507905e-51,0.0,0.0,1.38199053232e-69,0.0,4.39729378343e-65,2.74784619511e-134,0.0,1.63876908842e-07,3.82033431872e-12,-132.639926399
