0-Clatot 2012,1-Cordeiro 2006,2-Hu 2007,3-Keller 2005,4-Pfahnl 2007,5-Ye 2003,sum,gauss,x
8.43837310254e-35,0.0,0.0,1.58166970069e-34,0.0,1.08868384447e-07,1.08868384447e-07,9.65946737492e-17,-124.479844798
1.13279961278e-34,0.0,0.0,2.09333940617e-34,0.0,1.13240089865e-07,1.13240089865e-07,1.10789280674e-16,-124.319843198
1.51981941295e-34,0.0,0.0,2.76904476663e-34,0.0,1.17778553974e-07,1.17778553974e-07,1.27034278577e-16,-124.159841598
2.03786500137e-34,0.0,0.0,3.66089083928e-34,0.0,1.22489769143e-07,1.22489769143e-07,1.45620570742e-16,-123.999839998
2.73088468229e-34,0.0,0.0,4.83737834134e-34,0.0,1.27379928221e-07,1.27379928221e-07,1.66879562499e-16,-123.839838398
3.65742845802e-34,0.0,0.0,6.38851334848e-34,0.0,1.32455430667e-07,1.32455430667e-07,1.91188689558e-16,-123.679836798
4.89545255168e-34,0.0,0.0,8.4324938204e-34,0.0,1.37722888854e-07,1.37722888854e-07,2.18977685308e-16,-123.519835198
6.54868919447e-34,0.0,0.0,1.11244546745e-33,0.0,1.43189134535e-07,1.43189134535e-07,2.50735683692e-16,-123.359833598
8.75508647308e-34,0.0,0.0,1.46678987824e-33,0.0,1.48861225489e-07,1.48861225489e-07,2.87019266583e-16,-123.199831998
1.16979841451e-33,0.0,0.0,1.93296304962e-33,0.0,1.54746452345e-07,1.54746452345e-07,3.28461578494e-16,-123.039830398
1.5620903318e-33,0.0,0.0,2.54592540151e-33,0.0,1.60852345583e-07,1.60852345583e-07,3.75782647019e-16,-122.879828798
2.08471066424e-33,0.0,0.0,3.35146177519e-33,0.0,1.67186682727e-07,1.67186682727e-07,4.29801064939e-16,-122.719827198
2.78054519916e-33,0.0,0.0,4.4094999393e-33,0.0,1.73757495724e-07,1.73757495724e-07,4.91447209597e-16,-122.559825598
3.70645436924e-33,0.0,0.0,5.79843623635e-33,0.0,1.80573078516e-07,1.80573078516e-07,5.61778197277e-16,-122.399823998
4.93778168003e-33,0.0,0.0,7.62077088092e-33,0.0,1.87641994817e-07,1.87641994817e-07,6.41994795102e-16,-122.239822398
6.57430181342e-33,0.0,0.0,1.00104453257e-32,0.0,1.94973086084e-07,1.94973086084e-07,7.33460540856e-16,-122.079820798
8.74806334547e-33,0.0,0.0,1.31423904466e-32,0.0,2.02575479702e-07,2.02575479702e-07,8.37723352356e-16,-121.919819198
1.16337232415e-32,0.0,0.0,1.72449447471e-32,0.0,2.10458597373e-07,2.10458597373e-07,9.56539943047e-16,-121.759817598
1.54621564916e-32,0.0,0.0,2.26159962369e-32,0.0,2.18632163728e-07,2.18632163728e-07,1.09190339978e-15,-121.599815998
2.053836787e-32,0.0,0.0,2.96439528246e-32,0.0,2.27106215155e-07,2.27106215155e-07,1.24607432282e-15,-121.439814398
2.72650513469e-32,0.0,0.0,3.88349703531e-32,0.0,2.35891108853e-07,2.35891108853e-07,1.4216159773e-15,-121.279812798
3.61735589393e-32,0.0,0.0,5.08482858157e-32,0.0,2.44997532112e-07,2.44997532112e-07,1.6214339609e-15,-121.119811198
4.79645843782e-32,0.0,0.0,6.65420428538e-32,0.0,2.54436511833e-07,2.54436511833e-07,1.84882095404e-15,-120.959809598
6.35615764104e-32,0.0,0.0,8.70326920081e-32,0.0,2.64219424279e-07,2.64219424279e-07,2.10750718843e-15,-120.799807998
