0-Albert 2008,2-Bezzina 2003,3-Bezzina 2003,4-Ellinor 2008,5-Gosselin-Badaroudine 2012,6-Groenewegen 2003a,7-Groenewegen 2003a,8-Groenewegen 2003b,9-Guetter 2013,10-Gui 2010a,13-Rook 1999,14-Surber 2008,15-Vatta 2002b,18-Zhang 2008,sum,gauss,x
0.0,1.24063192895e-12,2.85396387145e-27,0.0,2.30227969695e-232,2.81012502795e-49,9.84323071629e-27,8.04514241059e-51,5.80461048756e-154,1.88800720262e-250,0.0,3.81195959995e-42,0.0,0.0,1.24063192895e-12,8.35966801594e-34,-129.279892799
0.0,1.32995899714e-12,3.46217174443e-27,0.0,2.25752044537e-231,4.12325162917e-49,1.18849963917e-26,1.17614107784e-50,1.86479465949e-153,1.28678353256e-249,0.0,5.12195028629e-42,0.0,0.0,1.32995899714e-12,1.06794884975e-33,-129.119891199
0.0,1.42554900984e-12,4.1985411844e-27,0.0,2.20271229969e-230,6.04579377837e-49,1.43455045204e-26,1.71829591665e-50,5.97917866057e-153,8.74185369698e-249,0.0,6.87879449116e-42,0.0,0.0,1.42554900984e-12,1.36374633665e-33,-128.959889599
0.0,1.52782867546e-12,5.08976699184e-27,0.0,2.1386333626e-229,8.8586208294e-49,1.7309637862e-26,2.50870361199e-50,1.91339495039e-152,5.91967365383e-248,0.0,9.23377349222e-42,0.0,0.0,1.52782867546e-12,1.74075826082e-33,-128.799887999
0.0,1.63725288463e-12,6.1680382394e-27,0.0,2.06617629302e-228,1.29711413173e-48,2.08792800914e-26,3.66027410657e-50,6.11111273743e-152,3.99565689159e-247,0.0,1.23889929371e-41,0.0,0.0,1.63725288463e-12,2.2210843693e-33,-128.639886399
0.0,1.75430650916e-12,7.47215526228e-27,0.0,1.98632764471e-227,1.89797095628e-48,2.51766789292e-26,5.33692035206e-50,1.94799818078e-151,2.68828186876e-246,0.0,1.66143249382e-41,0.0,0.0,1.75430650916e-12,2.83278340768e-33,-128.479884799
0.0,1.87950631161e-12,9.0488708683e-27,0.0,1.90014557961e-226,2.7752379625e-48,3.03484661121e-26,7.77643758729e-50,6.1973978547e-151,1.80284176101e-245,0.0,2.22699530237e-41,0.0,0.0,1.87950631161e-12,3.61146497519e-33,-128.319883199
0.0,2.01340297193e-12,1.09545001901e-26,0.0,1.80873665746e-225,4.05518046997e-48,3.65704608038e-26,1.13235738668e-49,1.96780829603e-150,1.20513752041e-244,0.0,2.98363579028e-41,0.0,0.0,2.01340297193e-12,4.60230257713e-33,-128.159881599
0.0,2.15658323809e-12,1.32568522836e-26,0.0,1.71323240895e-224,5.92133237443e-48,4.40534071164e-26,1.64777990243e-49,6.23603833173e-150,8.02993071402e-244,0.0,3.99541799701e-41,0.0,0.0,2.15658323809e-12,5.86257823754e-33,-127.999879999
0.0,2.30967220801e-12,1.60375469331e-26,0.0,1.61476637798e-223,8.64028337133e-48,5.3049824991e-26,2.39622581776e-49,1.97236525809e-149,5.3331424e-243,0.0,5.34771853631e-41,0.0,0.0,2.30967220801e-12,7.46489766412e-33,-127.839878399
0.0,2.4733357503e-12,1.93947924689e-26,0.0,1.51445227171e-222,1.25989927629e-47,6.38621876154e-26,3.48232372765e-49,6.22613440075e-149,3.53061818363e-242,0.0,7.15426078907e-41,0.0,0.0,2.4733357503e-12,9.50125093781e-33,-127.679876799
0.0,2.64828307211e-12,2.34467151182e-26,0.0,1.41336378768e-221,1.83587437766e-47,7.68526788092e-26,5.05735451617e-49,1.96156280474e-148,2.32977788823e-241,0.0,9.56645205598e-41,0.0,0.0,2.64828307211e-12,1.20881388982e-32,-127.519875199
0.0,2.83526944256e-12,2.8335347941e-26,0.0,1.31251659999e-220,2.67331040436e-47,9.24548315569e-26,7.33990623739e-49,6.16791703584e-148,1.53240823209e-240,0.0,1.27857714714e-40,0.0,0.0,2.83526944256e-12,1.5373042151e-32,-127.359873599
0.0,3.03509908066e-12,3.42314082803e-26,0.0,1.21285288556e-219,3.89004934546e-47,1.11187405486e-25,1.06456083197e-48,1.93565256872e-147,1.00468663582e-239,0.0,1.70801972738e-40,0.0,0.0,3.03509908066e-12,1.95425808563e-32,-127.199871999
0.0,3.24862821743e-12,4.13400175062e-26,0.0,1.11522866271e-218,5.6566606539e-47,1.33670928193e-25,1.54299071201e-48,6.06273899845e-147,6.56572919522e-239,0.0,2.2805979697e-40,0.0,0.0,3.24862821743e-12,2.48328028252e-32,-127.039870399
0.0,3.47676834219e-12,4.99075464149e-26,0.0,1.02040410203e-217,8.21986027587e-47,1.60647404827e-25,2.23495610454e-48,1.89523433373e-146,4.27692366313e-238,0.0,3.04364846257e-40,0.0,0.0,3.47676834219e-12,3.15421495186e-32,-126.879868799
0.0,3.72048964346e-12,6.02298048202e-26,0.0,9.29036859296e-217,1.19362536306e-46,1.93003794523e-25,3.23509874522e-48,5.91302258419e-146,2.77700219599e-237,0.0,4.06003851986e-40,0.0,0.0,3.72048964346e-12,4.00477900171e-32,-126.719867199
0.0,3.98082465596e-12,7.26618357134e-26,0.0,8.4167837659e-216,1.7320919184e-46,2.31799963755e-25,4.67971001279e-48,1.84123295436e-145,1.79728578465e-236,0.0,5.41322057299e-40,0.0,0.0,3.98082465596e-12,5.08261890317e-32,-126.559865599
0.0,4.25887212516e-12,8.76296240938e-26,0.0,7.58773004171e-215,2.51173100208e-46,2.78301958674e-25,6.76492833521e-48,5.72216688914e-145,1.15945593315e-235,0.0,7.21391797038e-40,0.0,0.0,4.25887212516e-12,6.44789954457e-32,-126.399863999
0.0,4.55580110205e-12,1.0564408966e-25,0.0,6.80659716001e-214,3.63977561088e-46,3.34021594584e-25,9.77282936167e-48,1.77486317991e-144,7.45568493221e-235,0.0,9.6089643438e-40,0.0,0.0,4.55580110205e-12,8.17656138043e-32,-126.239862399
0.0,4.87285528102e-12,1.27317802726e-25,0.0,6.07576127298e-213,5.27078606259e-46,4.00763545392e-25,1.41088068783e-47,5.49441955319e-144,4.77878001179e-234,0.0,1.27929843999e-39,0.0,0.0,4.87285528102e-12,1.03644166427e-31,-126.079860799
0.0,5.2113575949e-12,1.53384946062e-25,0.0,5.39664475322e-212,7.62738135671e-46,4.8068133415e-25,2.03550943288e-47,1.69758425025e-143,3.05311189865e-233,0.0,1.70238218166e-39,0.0,0.0,5.2113575949e-12,1.31322985646e-31,-125.919859199
0.0,5.57271508138e-12,1.84725144242e-25,0.0,4.76979194448e-211,1.1029982587e-45,5.76343883789e-25,2.93473442983e-47,5.23471973622e-143,1.94430591254e-232,0.0,2.26429061218e-39,0.0,0.0,5.57271508138e-12,1.66325315522e-31,-125.759857599
0.0,5.95842403648e-12,2.22391899397e-25,0.0,4.19495703427e-210,1.59394556793e-45,6.90814591951e-25,4.22841254285e-47,1.61104663235e-142,1.23419182007e-231,0.0,3.01021262713e-39,0.0,0.0,5.95842403648e-12,2.10570577022e-31,-125.599855999
0.0,6.37007547091e-12,2.6764651146e-25,0.0,3.67120025058e-209,2.30182042767e-45,8.27745253738e-25,6.08833800519e-47,4.94852042614e-142,7.80902696203e-231,0.0,3.99992719584e-39,0.0,0.0,6.37007547092e-12,2.66476393293e-31,-125.439854399
0.0,6.80936088654e-12,3.21998525866e-25,0.0,3.19698874726e-208,3.32176333523e-45,9.91487581097e-25,8.7605831324e-47,1.51703360843e-141,4.92501290382e-230,0.0,5.31247508623e-39,0.0,0.0,6.80936088655e-12,3.37086623743e-31,-125.279852799
0.0,7.27807839076e-12,3.8725394722e-25,0.0,2.77029881975e-207,4.79032774672e-45,1.187225569e-24,1.25973771746e-46,4.64159898486e-141,3.09609312414e-229,0.0,7.05231386328e-39,0.0,0.0,7.27807839076e-12,4.26231968645e-31,-125.119851199
0.0,7.77813916764e-12,4.6557268895e-25,0.0,2.38871646111e-206,6.90336860267e-45,1.42113255008e-24,1.81025646659e-46,1.41740059216e-140,1.94006753766e-228,0.0,9.35742305314e-39,0.0,0.0,7.77813916764e-12,5.38731343814e-31,-124.959849598
0.0,8.31157432577e-12,5.59537003182e-25,0.0,2.04953370031e-205,9.94159785426e-45,1.7005574768e-24,2.59963837854e-46,4.31986507497e-140,1.2117579414e-227,0.0,1.24099720405e-38,0.0,0.0,8.31157432577e-12,6.80644267182e-31,-124.799847998
0.0,8.88054214356e-12,6.72232959614e-25,0.0,1.7498386352e-204,1.43070670996e-44,2.03424579266e-24,3.73077132051e-46,1.31401503419e-139,7.54416350177e-227,0.0,1.64503539876e-38,0.0,0.0,8.88054214356e-12,8.59587044389e-31,-124.639846398
