0-Bebarova 2008,1-Calloe 2011,2-Calloe 2011,3-Calloe 2013,4-Hayashi 2015,5-Kato 2014,6-Liu 2005,7-Watanabe 2011b,8-Young 2005,sum,gauss,x
1.06445497648e-101,0.0,8.24611441025e-206,0.0,1.47054504153e-107,1.08046791553e-08,1.76432073344e-18,7.06478163841e-24,3.82921601956e-15,1.08046829863e-08,8.30268170409e-08,-132.799927999
3.20423289605e-101,0.0,1.24811265635e-204,0.0,6.36039304767e-107,1.17575770194e-08,2.43941747744e-18,9.74341336255e-24,4.37585214314e-15,1.17575813977e-08,8.94871904439e-08,-132.639926399
9.61972619724e-101,0.0,1.87424640695e-203,0.0,2.73879383105e-106,1.27909775307e-08,3.36794075334e-18,1.34233296551e-23,4.99892284801e-15,1.2790982533e-08,9.64293615833e-08,-132.479924799
2.88033635189e-100,0.0,2.79233844386e-202,0.0,1.17409838713e-105,1.39113598936e-08,4.64314743185e-18,1.8473369937e-23,5.70888443877e-15,1.39113656071e-08,1.03887583425e-07,-132.319923199
8.60132897163e-100,0.0,4.12741266985e-201,0.0,5.01094234244e-105,1.51256965275e-08,6.39190370134e-18,2.53962001951e-23,6.51759083909e-15,1.51257030515e-08,1.11898413939e-07,-132.159921599
2.56170885335e-99,0.0,6.05279826128e-200,0.0,2.12913933535e-104,1.64414882235e-08,8.78653597861e-18,3.48761149049e-23,7.43847584011e-15,1.64414956707e-08,1.20500861484e-07,-131.999919999
7.6091446193e-99,0.0,8.80649259395e-199,0.0,9.00655125947e-104,1.78668016126e-08,1.2060765647e-17,4.78436385907e-23,8.48675849295e-15,1.78668101114e-08,1.2973653867e-07,-131.839918399
2.25415494861e-98,0.0,1.27121268532e-197,0.0,3.79299901881e-103,1.9410309084e-08,1.65311012009e-17,6.55627324921e-23,9.67967450182e-15,1.94103187802e-08,1.39649825134e-07,-131.679916799
6.6599896055e-98,0.0,1.82054714784e-196,0.0,1.59029135957e-102,2.10813312961e-08,2.2625511655e-17,8.97483831603e-23,1.10367368159e-14,2.10813423554e-08,1.50288039704e-07,-131.519915199
1.96247979983e-97,0.0,2.58674794063e-195,0.0,6.63804866506e-102,2.28898824314e-08,3.09217989775e-17,1.22724978443e-22,1.25800289998e-14,2.28898950424e-08,1.6170162243e-07,-131.359913599
5.76738172824e-97,0.0,3.64648777745e-194,0.0,2.75850597103e-101,2.48467183561e-08,4.21988693194e-17,1.67639377261e-22,1.43345353868e-14,2.48467327329e-08,1.73944327e-07,-131.199911999
