0-Albert 2008,2-Bezzina 2003,3-Bezzina 2003,4-Ellinor 2008,5-Gosselin-Badaroudine 2012,6-Groenewegen 2003a,7-Groenewegen 2003a,8-Groenewegen 2003b,9-Guetter 2013,10-Gui 2010a,13-Rook 1999,14-Surber 2008,15-Vatta 2002b,18-Zhang 2008,sum,gauss,x
0.0,1.16632426754e-12,1.35635142296e-27,0.0,4.79645725219e-243,4.2947553162e-51,2.46509963277e-27,2.40500866156e-52,2.694008656e-160,7.65977672195e-260,0.0,8.64106720696e-44,0.0,0.0,1.16632426754e-12,1.77061169895e-22,-131.039910399
0.0,1.25192979345e-12,1.65168018042e-27,0.0,4.96611703819e-242,6.34980503047e-51,2.98735375965e-27,3.54161130733e-52,8.84257089335e-160,5.40953392161e-259,0.0,1.16725430352e-43,0.0,0.0,1.25192979345e-12,2.06957698274e-22,-130.879908799
0.0,1.34365954303e-12,2.01061704909e-27,0.0,5.11641541599e-241,9.38170232545e-51,3.61904692883e-27,5.21192315358e-52,2.8967478487e-159,3.80802488986e-258,0.0,1.57599012138e-43,0.0,0.0,1.34365954303e-12,2.41839303209e-22,-130.719907199
0.0,1.44193973665e-12,2.44670966529e-27,0.0,5.24526124081e-240,1.38516720652e-50,4.38285555538e-27,7.66492605089e-52,9.4709908063e-159,2.67199659265e-257,0.0,2.12682327452e-43,0.0,0.0,1.44193973665e-12,2.82526520659e-22,-130.559905599
0.0,1.54722538647e-12,2.97635813806e-27,0.0,5.35082716866e-239,2.04372306909e-50,5.30610065467e-27,1.12649895251e-51,3.09052823852e-158,1.86882318502e-256,0.0,2.86879307532e-43,0.0,0.0,1.54722538647e-12,3.2997314828e-22,-130.399903999
0.0,1.66000217919e-12,3.61940857531e-27,0.0,5.43159274947e-238,3.01329178062e-50,6.42168787895e-27,1.65449886133e-51,1.00652043457e-157,1.3028569038e-255,0.0,3.86773713114e-43,0.0,0.0,1.66000217919e-12,3.85287589946e-22,-130.239902399
0.0,1.7807884775e-12,4.39986861046e-27,0.0,5.48638085578e-237,4.43976129245e-50,7.76923548719e-27,2.42837084664e-51,3.27163658418e-157,9.05360235016e-255,0.0,5.21200209894e-43,0.0,0.0,1.7807884775e-12,4.49757570164e-22,-130.079900799
0.0,1.91013744754e-12,5.34676969362e-27,0.0,5.51438622734e-236,6.53698288473e-50,9.39642734651e-27,3.561856393e-51,1.06135359332e-156,6.27107946993e-254,0.0,7.02008095364e-43,0.0,0.0,1.91013744754e-12,5.24878742512e-22,-129.919899199
0.0,2.04863931991e-12,6.49520587282e-27,0.0,5.51519516441e-235,9.61821252448e-50,1.13606352912e-26,5.22096351376e-51,3.43643166702e-156,4.32971574498e-253,0.0,9.45082159458e-43,0.0,0.0,2.04863931991e-12,6.12387796491e-22,-129.759897599
0.0,2.19692379241e-12,7.88758473341e-27,0.0,5.4887956964e-234,1.41419951502e-49,1.37308637825e-26,7.64782194459e-51,1.11047275936e-155,2.97970079802e-252,0.0,1.27170657255e-42,0.0,0.0,2.19692379241e-12,7.14300759559e-22,-129.599895999
0.0,2.35566258283e-12,9.57513327854e-27,0.0,5.4355778766e-233,2.07790789267e-49,1.65900800821e-26,1.1195351551e-50,3.58146478842e-155,2.04400578858e-251,0.0,1.71038615732e-42,0.0,0.0,2.35566258283e-12,8.32957297316e-22,-129.439894399
0.0,2.52557214109e-12,1.1619710048e-26,0.0,5.35632419291e-232,3.05099288748e-49,2.00380053867e-26,1.63776113358e-50,1.15283204805e-154,1.39761572142e-250,0.0,2.29927721902e-42,0.0,0.0,2.52557214109e-12,9.71071937027e-22,-129.279892799
0.0,2.70741652989e-12,1.40959849594e-26,0.0,5.25219042393e-231,4.47667319739e-49,2.41944569403e-26,2.39428719418e-50,3.70359914951e-154,9.52554043586e-250,0.0,3.08943033141e-42,0.0,0.0,2.70741652989e-12,1.13179328006e-21,-129.119891199
0.0,2.90201048431e-12,1.70940605365e-26,0.0,5.1246775952e-230,6.56400467366e-49,2.9203348488e-26,3.4979595446e-50,1.18750238206e-153,6.47124234712e-249,0.0,4.14911413753e-42,0.0,0.0,2.90201048431e-12,1.31877243034e-21,-128.959889599
0.0,3.11022266076e-12,2.07226227525e-26,0.0,4.97559598645e-229,9.6179311862e-49,3.52374770762e-26,5.10700378155e-50,3.80012237534e-153,4.38209608141e-248,0.0,5.56957766197e-42,0.0,0.0,3.11022266076e-12,1.53624205128e-21,-128.799887999
0.0,3.33297908657e-12,2.51127271176e-26,0.0,4.807022396e-228,1.40829534302e-48,4.25042487575e-26,7.45127228837e-50,1.21370531719e-152,2.95782393274e-247,0.0,7.47272589856e-42,0.0,0.0,3.33297908657e-12,1.78910767682e-21,-128.639886399
