0-Abriel 2000,1-Abriel 2001,2-Abriel 2001,3-Abriel 2001,4-Abriel 2001,5-Abriel 2001,6-Akai 2000,7-An 1998,8-Bankston 2007b,9-Baroudi 2000b,10-Baroudi 2001,11-Casini 2007,12-Deschenes 2000,14-Huang 2009,17-Itoh 2007,18-Lin 2008,19-Liu 2002,20-Lupoglazoff 2001,21-Makita 2002,22-Makiyama 2008,23-Mohler 2004,24-Moreau 2013,25-Neu 2010,26-Nguyen 2008,27-Smits 2005a,28-Smits 2005b,29-Viswanathan 2003,30-Wang 2002,31-Wang 2007a,33-Wang 2008,34-Wedekind 2001,35-Yang 2002,sum,gauss,x
2.1738888417e-322,0.0,0.0,0.0,0.0,0.0,1.09295017484e-19,2.7623030118e-58,3.89111793082e-125,2.57841102638e-17,4.98206063131e-81,7.43041281167e-12,4.84877154985e-46,1.64926638374e-19,2.38901047398e-42,4.97116515428e-50,1.82185926675e-25,5.83301797715e-33,1.61525182664e-22,2.12084809126e-39,0.0,1.18054902921e-21,1.76804537456e-27,3.16420482839e-74,2.11948909754e-38,1.95354037978e-08,9.32076652142e-38,4.24097308401e-10,1.01090444422e-26,1.01090444422e-26,2.45917601177e-15,0.0,1.99669340043e-08,2.55448526615e-05,-135.199952
6.51672586865e-321,0.0,0.0,0.0,0.0,0.0,1.36051007944e-19,4.69624930024e-58,1.58254207219e-124,3.31078655936e-17,1.89518899594e-80,8.47472255832e-12,1.11342660808e-45,2.32424286358e-19,4.57488701531e-42,1.28973890753e-49,2.35620046744e-25,9.73995298128e-33,2.22733234277e-22,3.39160983373e-39,0.0,1.61609155606e-21,2.6404956134e-27,9.92356265168e-74,3.72707802139e-38,2.1619448628e-08,1.54639586215e-37,4.91689881072e-10,1.47628159266e-26,1.47628159266e-26,3.10876298137e-15,0.0,2.21196163739e-08,2.67221512723e-05,-135.0399504
1.94444475577e-319,0.0,0.0,0.0,0.0,0.0,1.69247802434e-19,7.97532538221e-58,6.41373498345e-124,4.24713035641e-17,7.17330432186e-80,9.66148988443e-12,2.54776895487e-45,3.27027457032e-19,8.74020744486e-42,3.33203286734e-49,3.04523221517e-25,1.62324876798e-32,3.06777670262e-22,5.41664362941e-39,0.0,2.20974333566e-21,3.93774159353e-27,3.09979826083e-73,6.54105647337e-38,2.39151386025e-08,2.56146145173e-37,5.69663601043e-10,2.15304951848e-26,2.15304951848e-26,3.92595787194e-15,0.0,2.44944676623e-08,2.7949680521e-05,-134.879948799
5.75505450639e-318,0.0,0.0,0.0,0.0,0.0,2.10408939833e-19,1.35289196971e-57,2.59024969995e-123,5.44308820571e-17,2.70152628749e-79,1.10095301456e-11,5.80934354415e-45,4.59408409212e-19,1.66587402582e-41,8.57196950808e-49,3.93313958016e-25,2.70008837843e-32,4.22042712392e-22,8.63938236985e-39,0.0,3.01794724196e-21,5.86379386086e-27,9.64410726138e-73,1.14569608853e-37,2.64427889052e-08,4.23597185429e-37,6.59549076865e-10,3.13591690916e-26,3.13591690916e-26,4.95294703202e-15,0.0,2.71133525203e-08,2.92293859417e-05,-134.719947199
1.68993943699e-316,0.0,0.0,0.0,0.0,0.0,2.61411815265e-19,2.2924256976e-57,1.04243054463e-122,6.96916147404e-17,1.01233057091e-78,1.25400576686e-11,1.31996571612e-44,6.44355701404e-19,3.16768232655e-41,2.19591650995e-48,5.07655468028e-25,4.48265745583e-32,5.79939920881e-22,1.37614178766e-38,0.0,4.11694810824e-21,8.71926535176e-27,2.98850110629e-72,2.00277923189e-37,2.92245398057e-08,6.99385144102e-37,7.63092541031e-10,4.56142764374e-26,4.56142764374e-26,6.24225861465e-15,0.0,3.00001787172e-08,3.05632792216e-05,-134.559945599
4.92335621623e-315,0.0,0.0,0.0,0.0,0.0,3.24568308851e-19,3.88011732957e-57,4.18049299038e-122,8.91458347295e-17,3.77449381993e-78,1.42769799554e-11,2.98859327969e-44,9.02327976471e-19,6.00924810109e-41,5.60163614808e-48,6.54801316041e-25,7.42775898212e-32,7.95982543438e-22,2.18913086522e-38,0.0,5.60961533366e-21,1.2946453435e-26,9.22375156979e-72,3.49412828122e-37,3.22845079391e-08,1.15286335853e-36,8.82284695647e-10,6.62617266179e-26,6.62617266179e-26,7.85922742857e-15,0.0,3.31810775643e-08,3.19534400436e-05,-134.399943999
1.42304895585e-313,0.0,0.0,0.0,0.0,0.0,4.02723421004e-19,6.56012159518e-57,1.67063950137e-121,1.13921831503e-16,1.40029099964e-77,1.62472264332e-11,6.74278873601e-44,1.26158112278e-18,1.13730695976e-40,1.42291131732e-47,8.44035638531e-25,1.22841392019e-31,1.09123433112e-21,3.47782976742e-38,0.0,7.63457224347e-21,1.91951473964e-26,2.83546676311e-71,6.08396530352e-37,3.56489488961e-08,1.89730593509e-36,1.01939319247e-09,9.61281139141e-26,9.61281139141e-26,9.88502975334e-15,0.0,3.66845993156e-08,3.34020179634e-05,-134.239942399
4.08081485694e-312,0.0,0.0,0.0,0.0,0.0,4.9937585149e-19,1.10788928294e-56,6.65292867018e-121,1.45444812031e-16,5.16893520858e-77,1.84811156118e-11,1.51593598611e-43,1.76107541044e-18,2.14740671741e-40,3.59918886707e-47,1.08723341503e-24,2.02766559035e-31,1.49426091589e-21,5.51788914328e-38,0.0,1.03783969034e-20,2.84185429771e-26,8.68169075212e-71,1.05724765151e-36,3.93464318528e-08,3.11741765187e-36,1.17699917354e-09,1.39271998975e-25,1.39271998975e-25,1.24204156711e-14,0.0,4.05419247101e-08,3.49112343206e-05,-134.079940799
1.16102724499e-310,0.0,0.0,0.0,0.0,0.0,6.18825301283e-19,1.86895254468e-56,2.64008471955e-120,1.8551322902e-16,1.8984846572e-76,2.10127649181e-11,3.39618035427e-43,2.45444178775e-18,4.04510655702e-40,9.06557396474e-47,1.39957302774e-24,3.34050871699e-31,2.04375481144e-21,8.74310464378e-38,0.0,1.40919074067e-20,4.20128248044e-26,2.64756633511e-70,1.83361792891e-36,4.34080270109e-08,5.11388209801e-36,1.3580383444e-09,2.01512927202e-25,2.01512927202e-25,1.55902940114e-14,0.0,4.47870938991e-08,3.64833841834e-05,-133.919939199
3.27722605822e-309,0.0,0.0,0.0,0.0,0.0,7.6635229394e-19,3.14932606797e-56,1.04399335602e-119,2.36394249954e-16,6.93803213792e-76,2.38805479224e-11,7.58174548074e-43,3.41538393715e-18,7.60194413944e-40,2.27378731848e-46,1.80044186484e-24,5.49279718657e-31,2.79206218495e-21,1.38352316857e-37,0.0,1.9111871876e-20,6.20199878824e-26,8.04177977742e-70,3.17382576693e-36,4.78675066531e-08,8.37538013841e-36,1.56584710175e-09,2.91184148475e-25,2.91184148475e-25,1.95493582671e-14,0.0,4.94572540927e-08,3.81208383279e-05,-133.759937599
